#noise i0 i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13
44 53.7739 54.4784 54.3442 53.9081 53.9752 53.8074 52.0966 54.0758 54.5119 54.3777 54.0087 54.21 54.4784 53.9416
45 53.1701 52.6333 52.1972 52.3314 52.1302 51.8953 52.1972 52.734 52.2643 51.8953 51.8282 51.5599 51.8282 52.2308
46 52.2308 49.9161 51.0231 50.7548 50.8219 50.7212 51.3922 51.0567 50.4864 50.8219 50.7883 51.7612 51.5263 51.2915
47 52.9017 52.4992 50.7548 50.0503 50.0839 49.5136 52.4992 49.2452 49.3794 49.8826 49.1781 49.4465 50.3187 50.0839
48 50.7883 52.0295 51.627 52.0631 51.996 51.5934 51.0231 49.2788 50.4529 50.1174 50.2516 50.5535 50.3522 51.0902
49 50.5871 49.2117 50.151 50.4193 50.3187 50.4193 49.4129 50.151 50.7548 50.7212 50.3522 50.4193 50.218 50.0839
50 50.0503 49.0439 48.9098 48.4401 49.1446 49.2452 47.8028 48.9433 48.6749 48.6078 48.6414 49.5136 48.8762 49.8155
51 50.4529 48.373 49.7149 49.6813 49.5471 49.9161 49.5471 49.9832 49.6478 49.5471 50.0168 49.3459 50.5535 49.8826
52 50.9561 50.7883 50.6877 50.4529 50.4193 50.3522 51.6941 50.6206 51.3586 51.3251 50.2516 49.9497 50.7548 50.9225
53 53.2036 53.5726 51.2915 51.2244 51.1909 50.9225 52.8346 52.9688 53.0359 52.8346 51.9289 52.0295 51.9624 51.3251
54 50.7883 52.1302 51.3586 51.1909 51.5934 51.2915 52.1302 51.5934 52.0966 52.3985 52.4321 52.1302 52.1302 51.5263
55 51.5263 50.6877 51.9624 52.2643 52.1972 52.0295 51.1573 51.627 51.5599 51.7947 51.0567 50.6877 50.9225 52.0295
56 53.2036 52.9017 53.472 55.1493 54.4113 54.3106 52.4656 53.2707 53.5391 54.0087 53.8745 53.5391 53.7404 53.3714
57 53.4049 52.4321 53.2372 53.472 53.2372 53.2372 51.8618 54.1094 53.841 53.7739 53.5726 53.9081 54.0758 53.5055
58 54.9815 54.6461 54.5455 53.9081 53.9752 54.2771 53.0694 55.7866 54.8809 54.6125 55.1157 55.1157 54.8809 54.4113
59 55.0486 55.0486 56.2563 56.5917 56.793 56.5247 53.8745 55.6189 55.4512 55.8873 56.055 55.6189 55.9879 56.5917
60 55.317 54.5455 55.317 55.3841 55.317 55.0822 55.1828 55.0822 56.0215 56.3569 56.3905 56.2227 55.5183 55.3841
61 56.1892 55.6189 55.7866 55.8537 55.6189 55.6525 55.6525 55.4847 56.055 56.6924 55.7866 55.5518 55.7196 56.1892
62 55.317 54.7803 56.4911 56.6924 57.0278 56.9608 55.5518 55.5854 56.4576 56.9272 57.3968 57.5646 57.6317 55.9544
63 55.4512 56.2898 57.6988 57.5981 57.6317 57.9671 56.424 56.2898 57.7323 57.4304 58.0678 58.1684 57.6988 57.6988
64 58.5039 58.1349 59.9463 59.8792 59.7115 60.047 56.6924 57.5646 60.0805 60.2818 59.9799 59.9463 59.007 59.8457
65 58.5039 58.94 60.0805 60.3489 60.416 60.3153 57.4639 60.0805 60.3489 60.5166 60.2482 60.4831 60.3824 59.5773
